essential,class,complex,phenotype,chromosome,CELL GROWTH CELL DIVISION AND DNA SYNTHESIS,CELL RESCUE DEFENSE CELL DEATH AND AGEING,CELLULAR BIOGENESIS,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,CELLULAR ORGANIZATION,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,ENERGY,IONIC HOMEOSTASIS,METABOLISM,PROTEIN DESTINATION,PROTEIN SYNTHESIS,TRANSCRIPTION,TRANSPORT FACILITATION,localization,aantal_correlaties,genetic,physical,genetic-physical,gem_correlatie
G234581,Non-Essential,Protein Kinases,?,"Auxotrophies carbon and",10,True,True,False,True,True,False,False,False,False,False,False,False,False,cytoplasm,4,4,0,0,0.3128920185
G234240,Non-Essential,Protein phosphatases,Serine/threonine phoshpoprotein phosphatase,Cell morphology and organelle mutants,4,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,9,9,0,0,0.34225851644444444
G234360,Non-Essential,Molecular chaperones,?,?,5,False,True,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,1,0,1,0,0.585197066
G235252,Non-Essential,?,Nuclear pore complex (NPC),?,4,False,False,False,False,True,True,False,False,False,False,False,True,False,nucleus,2,0,1,1,0.26542577
G235816,Essential,?,Translation complexes,?,15,False,False,False,False,True,False,False,False,False,False,True,False,False,cytoplasm,1,0,1,0,0.821325938
G235801,Non-Essential,?,RNA processing complexes,Mating and sporulation defects,14,True,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,2,1,0,1,0.4044975235
G235471,Essential,?,Replication complexes,Nucleic acid metabolism defects,8,True,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,1,0,0,0.703223606
G238885,Essential,?,?,?,10,False,False,False,False,True,False,False,False,True,False,False,False,False,cytoplasm,0,0,0,0,None
G235453,Non-Essential,?,Nem1p-Spo7p complex,Conditional phenotypes,8,True,False,True,False,True,False,False,False,False,False,False,False,False,nucleus,3,3,0,0,0.6602083236666666
G235244,Essential,?,Histone acetyltransferase complexes,?,4,False,False,False,False,False,False,False,False,False,False,False,True,False,nucleus,9,0,9,0,0.38584237033333335
G234824,Non-Essential,Cyclins,Cyclin-CDK (Cyclin-dependent kinases) complexes,?,13,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,3,3,0,0,0.41414450266666664
G235297,Essential,?,Intracellular transport complexes,Conditional phenotypes,4,False,False,False,False,True,True,False,False,False,True,False,False,False,ER,2,0,2,0,0.681282648
G234402,Non-Essential,Protein Kinases,?,?,6,True,False,False,True,True,False,False,False,False,False,False,False,False,cytoplasm,1,0,1,0,0.123021596
G235924,Non-Essential,?,Glucan synthases,Conditional phenotypes,16,True,False,True,False,True,False,False,False,True,False,False,False,False,golgi,1,1,0,0,0.065316347
G235854,Essential,?,?,Cell cycle defects,15,True,False,True,False,True,False,False,False,False,False,False,False,False,cytoskeleton,0,0,0,0,None
G235788,Essential,?,Intracellular transport complexes,Conditional phenotypes,14,False,False,False,False,True,True,False,False,False,False,False,False,False,transport vesicles,2,2,0,0,0.683852744
G239853,Non-Essential,?,?,?,12,False,False,False,False,False,False,False,False,False,False,False,False,True,integral membrane,0,0,0,0,None
G234096,Non-Essential,Molecular chaperones,?,?,2,False,True,False,False,True,False,False,False,False,False,False,False,False,cytoplasm,1,0,1,0,0.755516667
G239196,Non-Essential,?,?,Nucleic acid metabolism defects,8,True,False,True,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G235172,Non-Essential,?,Cytoskeleton,Cell cycle defects,3,True,False,False,False,True,False,False,False,False,False,False,False,False,nucleus,5,4,0,1,0.5548878036
G237630,Non-Essential,?,?,Stress response defects,2,False,False,False,False,True,False,False,False,True,False,False,False,False,ER,5,5,0,0,0.3127269116
G239975,Essential,?,?,Nucleic acid metabolism defects,3,False,False,False,False,True,False,False,False,False,False,True,True,False,nucleus,2,0,2,0,0.929495506
G237594,Non-Essential,?,?,Conditional phenotypes,2,False,False,False,False,True,False,True,False,False,True,False,False,False,mitochondria,1,1,0,0,0.677026981
G235052,Non-Essential,ATPases,Respiration chain complexes,?,16,False,False,False,False,True,False,True,False,False,False,False,False,False,mitochondria,1,0,1,0,0.297138317
G234427,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,?,7,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,0,0,0,0,None
G234444,Non-Essential,Transcription factors,Transcription complexes/Transcriptosome,?,7,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,3,0,3,0,0.4308873406666667
G235213,Non-Essential,?,Transcription complexes/Transcriptosome,Sensitivity to aminoacid analogs and other drugs,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,4,1,2,1,0.55467196725
G234277,Non-Essential,Histones,Nucleosomal protein complex,Sensitivity to aminoacid analogs and other drugs,4,False,False,False,False,True,False,False,False,False,False,False,True,False,nucleus,1,0,1,0,0.339637193
G234630,Non-Essential,Transcription factors,?,?,11,False,False,False,False,True,False,False,False,True,False,False,True,False,nucleus,0,0,0,0,None
G236111,Non-Essential,?,?,Cell cycle defects,14,True,False,False,False,True,False,False,False,False,False,False,False,False,cytoskeleton,7,2,4,1,0.7027130618571428
G234074,Essential,GTP/GDP-exchange factors (GEFs),?,Conditional phenotypes,1,True,False,False,True,True,False,False,False,False,False,False,False,False,cytoplasm,5,1,1,3,0.433495807
