essential,class,complex,phenotype,chromosome,CELL GROWTH CELL DIVISION AND DNA SYNTHESIS,CELL RESCUE DEFENSE CELL DEATH AND AGEING,CELLULAR BIOGENESIS,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,CELLULAR ORGANIZATION,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,ENERGY,IONIC HOMEOSTASIS,METABOLISM,PROTEIN DESTINATION,PROTEIN SYNTHESIS,TRANSCRIPTION,TRANSPORT FACILITATION,localization,aantal_correlaties,genetic,physical,genetic-physical,gem_correlatie
Non-Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,7,False,False,False,False,False,False,False,False,False,False,False,False,False,?,6,0,4,1,0.5862523283333334
Non-Essential,?,Cytoskeleton,Mating and sporulation defects,7,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.58048433
Non-Essential,GTP/GDP-exchange factors (GEFs),?,?,12,False,False,False,False,False,False,False,False,False,False,False,False,False,?,3,0,3,0,0.4757444866666667
Non-Essential,?,Intracellular transport complexes,?,13,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.49027247
Non-Essential,?,Ornithine carbamoyltransferase,?,10,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,1,0,0.8526245
Non-Essential,Transcription factors,?,?,11,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,1,0,0,0.5593934
Non-Essential,?,?,Nucleic acid metabolism defects,8,False,False,False,False,False,False,False,False,False,False,False,False,False,?,0,0,0,0,None
Non-Essential,Proteases,"Proteases mitochondrial",Nucleic acid metabolism defects,13,False,False,False,False,False,False,False,False,False,False,False,False,False,?,0,0,0,0,None
Non-Essential,?,Hexokinase 2,Mating and sporulation defects,7,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,0,0,0.42442436
Non-Essential,?,Intracellular transport complexes,Cell morphology and organelle mutants,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,5,0,5,0,0.691796684
Non-Essential,?,?,Nucleic acid metabolism defects,12,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,0,0,0.37257687
Non-Essential,GTPase activating proteins (GAPs),?,Sensitivity to aminoacid analogs and other drugs,5,False,False,False,False,False,False,False,False,False,False,False,False,False,?,9,8,0,0,0.48000830333333333
Non-Essential,?,Intracellular transport complexes,Mating and sporulation defects,2,False,False,False,False,False,False,False,False,False,False,False,False,False,?,1,0,0,1,0.95793116
Non-Essential,?,Transcription complexes/Transcriptosome,Cell cycle defects,4,False,False,False,False,False,False,False,False,False,False,False,False,False,?,3,1,1,0,0.7934938633333334
Non-Essential,?,Translocon,Conditional phenotypes,2,False,False,False,False,False,False,False,False,False,False,False,False,False,?,2,1,1,0,0.44595607
